Snack Name,Ingredients,Allergy,Price
Think! High Protein Bar Brownie Crunch - 2.1 oz/10 pack,"PROTEIN BLEND (SOY PROTEIN ISOLATE, CALCIUM CASEINATE, WHEY PROTEIN ISOLATE), MALTITOL SYRUP, VEGETABLE GLYCERIN, WATER, ALMOND BUTTER, COCOA BUTTER, ALKALIZED COCOA, CHOCOLATE, SUNFLOWER OIL, LECITHIN, SODIUM CASEINATE, NATURAL FLAVOR, TAPIOCA STARCH, MILK FAT, SALT.",Milk; Tree Nuts; Soy/Soybeans,$20.63
Think! Protein+ 150 Calorie Bar Cupcake Batter - 1.4 oz/10 pack,"PROTEIN BLEND (SOY PROTEIN ISOLATE, WHEY PROTEIN ISOLATE, CALCIUM CASEINATE), CHICORY ROOT FIBER, VEGETABLE GLYCERIN, SUGAR, ALMOND BUTTER, BROWN RICE SYRUP, PALM KERNEL OIL, SUNFLOWER OIL, NATURAL FLAVOR, WATER, CULTURED NONFAT DRY MILK, SALT, LECITHIN.",Milk; Tree Nuts; Soy/Soybeans,$14.25
Clif Bloks Energy Chews Strawberry - 2.1 oz/18 pack,"Tapioca Syrup (Organic Ingredient), Cane Sugar (Organic Ingredient), Maltodextrin (Organic Ingredient), Pectin, Citric Acid, Natural Flavor, Black Carrot Juice Concentrate (for Color) (Organic Ingredient), Potassium Citrate, Sea Salt, Sunflower Oil (Organic Ingredient), Carnauba Wax (Organic Ingredient).",,$43.20
Chips Ahoy! Chunky King Size 8 count - 4.15 oz/8 pack,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE {VITAMIN B1}, RIBOFLAVIN {VITAMIN B2}, FOLIC ACID), SEMISWEET CHOCOLATE CHUNKS (SUGAR, CHOCOLATE, DEXTROSE, COCOA BUTTER, MILK, SOY LECITHIN), VEGETABLE OIL (SOYBEAN AND/OR CANOLA AND/OR PALM AND/OR PARTIALLY HYDROGENATED COTTONSEED OIL), SUGAR, SEMISWEET CHOCOLATE CHIPS (SUGAR, CHOCOLATE, COCOA BUTTER, DEXTROSE, MILK, SOY LECITHIN), LEAVENING (BAKING SODA, AMMONIUM PHOSPHATE), MOLASSES, HIGH FRUCTOSE CORN SYRUP, WHEY, SALT, SOY LECITHIN, CARAMEL COLOR, ARTIFICIAL FLAVOR.",Milk; Wheat; Soy/Soybeans,$13.10
Annie's Snack Mix Cheddar - 2.5 oz/12 pack,"ORGANIC WHEAT FLOUR, ORGANIC EXPELLER-PRESSED VEGETABLE OIL (ORGANIC SUNFLOWER AND/OR ORGANIC CANOLA OIL), ORGANIC WHOLE WHEAT FLOUR, ORGANIC DRIED CHEDDAR CHEESE (ORGANIC CULTURED PASTEURIZED MILK, SALT, ENZYMES), ORGANIC WHEY, SALT, ORGANIC CHEDDAR CHEESE (ORGANIC PASTEURIZED MILK, CHEESE CULTURES, SEA SALT, ENZYMES), ORGANIC NONFAT MILK, ORGANIC CANE SUGAR, YEAST, ORGANIC CREAM, ORGANIC MALT SYRUP BLEND (TAPIOCA SYRUP, MALT EXTRACT), ORGANIC BARLEY MALT EXTRACT, BAKING SODA, ORGANIC ANNATTO (FOR COLOR), ORGANIC PAPRIKA, CULTURED ORGANIC MILK, SILICON DIOXIDE (FOR ANTICAKING), ORGANIC ONION, ORGANIC CELERY SEED POWDER, ENZYMES, MIXED TOCOPHEROLS (VITAMIN E) TO PROTECT FLAVOR.",Milk; Wheat,$28.78
Annie's White Cheddar Mac & Cheese - 2.01 oz/12 pack,"BEST INGREDIENTS: ORGANIC WHEAT MACARONI (ORGANIC WHEAT FLOUR), TAPIOCA STARCH, CHEDDAR CHEESE (CULTURED PASTEURIZED MILK, SALT, NON-ANIMAL ENZYMES), NONFAT DRY MILK, CORN STARCH, ORGANIC COCONUT OIL, WHEY, BUTTER, SALT, CULTURED WHOLE MILK, POTASSIUM CHLORIDE, SUNFLOWER LECITHIN, SODIUM PHOSPHATE, SILICON DIOXIDE FOR ANTICAKING.",Milk; Tree Nuts; Wheat,$25.19
Rice Krispies Treats Original Squares - 1.3 oz/20 pack,"TOASTED RICE CEREAL (RICE, SUGAR, SALT, MALT FLAVORING, NIACINAMIDE, REDUCED IRON, RIBOFLAVIN [VITAMIN B2], FOLIC ACID), MARSHMALLOW (CORN SYRUP, SUGAR, GELATIN, NATURAL AND ARTIFICIAL FLAVOR), FRUCTOSE, MARGARINE (VEGETABLE OIL [SOYBEAN AND PALM OIL WITH TBHQ FOR FRESHNESS], WATER, NATURAL AND ARTIFICIAL BUTTER FLAVOR [CONTAINS MILK], DATEM, ACETYLATED MONOGLYCERIDES, BHT FOR FRESHNESS, VITAMIN A PALMITATE, VITAMIN D), CORN SYRUP SOLIDS, CONTAINS TWO PERCENT OR LESS OF DEXTROSE, GLYCERIN, SALT, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), THIAMIN HYDROCHLORIDE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), SOY LECITHIN.",Milk; Soy/Soybeans,$15.97
Belvita Breakfast Biscuit Cranberry Orange - 1.76 oz/5 pack,"WHOLE GRAIN BLEND (ROLLED OATS, RYE FLAKES), ENRICHED FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], SUGAR, CANOLA OIL, WHOLE GRAIN WHEAT FLOUR, DRIED CRANBERRIES, INVERT SUGAR, MALT SYRUP (FROM CORN AND BARLEY), BAKING SODA, SALT, DRIED ORANGE PEEL, SOY LECITHIN, NATURAL FLAVOR, DISODIUM PYROPHOSPHATE, DATEM, FERRIC ORTHOPHOSPHATE (IRON), NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN MONONITRATE (VITAMIN B1).",Wheat; Soy/Soybeans,$4.74
Belvita Breakfast Biscuit Blueberry - 1.76 oz/8 pack,"WHOLE GRAIN BLEND (ROLLED OATS, RYE FLAKES), ENRICHED FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], CANOLA OIL, SUGAR, WHOLE GRAIN WHEAT FLOUR, EVAPORATED CANE SUGAR, DRIED BLUEBERRIES, MALT SYRUP (FROM CORN AND BARLEY), INVERT SUGAR, BAKING SODA, SALT, SOY LECITHIN, DISODIUM PYROPHOSPHATE, NATURAL FLAVOR, DATEM, BLUEBERRY JUICE CONCENTRATE, FERRIC ORTHOPHOSPHATE (IRON), NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN MONONITRATE (VITAMIN B1).",Wheat; Soy/Soybeans,$8.90
Keelber Toast & Peanut Butter Sandwich Crackers - 1.8 oz/12 pack,"ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), PEANUT BUTTER (ROASTED PEANUTS), SOYBEAN OIL WITH TBHQ FOR FRESHNESS, SUGAR, HIGH FRUCTOSE CORN SYRUP, DEXTROSE, CONTAINS TWO PERCENT OR LESS OF SALT, MALTED BARLEY FLOUR, LEAVENING (BAKING SODA, MONOCALCIUM PHOSPHATE, SODIUM ACID PYROPHOSPHATE), SOY LECITHIN, CORNSTARCH, YELLOW #6, CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), WHEY, BUTTERMILK, DISODIUM PHOSPHATE, RED PEPPER.",Milk; Wheat; Peanuts/ Peanut Oil; Soy/Soybeans,$8.07
